Date,Match,Opponent,Attacker_Rating
2025-12-20,Everton vs Arsenal,Michael Keane,6.6
2025-12-20,Everton vs Arsenal,Vitaliy Mykolenko,6.6
2025-12-23,Arsenal vs Crystal Palace,Chris Richards,7.3
2025-12-23,Arsenal vs Crystal Palace,Maxence Lacroix,7.3
2025-12-23,Arsenal vs Crystal Palace,Marc Guéhi,7.3
2025-12-23,Arsenal vs Crystal Palace,Nathaniel Clyne,7.3
2025-12-27,Arsenal vs Brighton & Hove Albion,Diego Coppola,7.7
2025-12-27,Arsenal vs Brighton & Hove Albion,Jan Paul van Hecke,7.7
2025-12-27,Arsenal vs Brighton & Hove Albion,Lewis Dunk,7.7
2025-12-30,Arsenal vs Aston Villa,Lamare Bogarde,6.6
2025-12-30,Arsenal vs Aston Villa,Ezri Konsa,6.6
2025-12-30,Arsenal vs Aston Villa,Victor Lindelof,6.6
2025-12-30,Arsenal vs Aston Villa,Lucas Digne,6.6
2025-12-30,Arsenal vs Aston Villa,Andrés García,6.6
2026-01-03,Bournemouth vs Arsenal,Álex Jiménez,7.2
2026-01-03,Bournemouth vs Arsenal,James Hill,7.2
2026-01-03,Bournemouth vs Arsenal,Marcos Senesi,7.2
2026-01-03,Bournemouth vs Arsenal,Adrien Truffert,7.2
2026-01-08,Arsenal vs Liverpool,Conor Bradley,6.6
2026-01-08,Arsenal vs Liverpool,Ibrahima Konaté,6.6
2026-01-08,Arsenal vs Liverpool,Virgil van Dijk,6.6
2026-01-08,Arsenal vs Liverpool,Miloš Kerkez,6.6
2026-01-14,Chelsea vs Arsenal,Josh Acheampong,6.5
2026-01-14,Chelsea vs Arsenal,Trevoh Chalobah,6.5
2026-01-14,Chelsea vs Arsenal,Wesley Fofana,6.5
2026-01-14,Chelsea vs Arsenal,Marc Cucurella,6.5
2026-01-14,Chelsea vs Arsenal,Benoît Badiashile,6.5
2026-01-14,Chelsea vs Arsenal,Jorrel Hato,6.5
2026-01-14,Chelsea vs Arsenal,Tosin Adarabioyo,6.5
2026-01-17,Nottingham Forest vs Arsenal,Ola Aina,7.2
2026-01-17,Nottingham Forest vs Arsenal,Nikola Milenković,7.2
2026-01-17,Nottingham Forest vs Arsenal,Murillo,7.2
2026-01-17,Nottingham Forest vs Arsenal,Neco Williams,7.2
2026-01-20,Inter vs Arsenal,Manuel Akanji,6.9
2026-01-20,Inter vs Arsenal,Francesco Acerbi,6.9
2026-01-20,Inter vs Arsenal,Alessandro Bastoni,6.9
2026-01-25,Arsenal vs Manchester United,Diogo Dalot,7.7
2026-01-25,Arsenal vs Manchester United,Harry Maguire,7.7
2026-01-25,Arsenal vs Manchester United,Lisandro Martínez,7.7
2026-01-25,Arsenal vs Manchester United,Luke Shaw,7.7
2026-01-25,Arsenal vs Manchester United,Noussair Mazraoui,7.7
2026-02-12,Brentford vs Arsenal,Michael Kayode,6.4
2026-02-12,Brentford vs Arsenal,Kristoffer Ajer,6.4
2026-02-12,Brentford vs Arsenal,Sepp van den Berg,6.4
2026-02-12,Brentford vs Arsenal,Rico Henry,6.4
2026-02-15,Arsenal vs Wigan Athletic,Jack Hunt,7.4
2026-02-15,Arsenal vs Wigan Athletic,Jason Kerr,7.4
2026-02-15,Arsenal vs Wigan Athletic,Will Aimson,7.4
2026-02-15,Arsenal vs Wigan Athletic,Steven Sessegnon,7.4
2026-02-18,Wolverhampton vs Arsenal,Yerson Mosquera,8.1
2026-02-18,Wolverhampton vs Arsenal,Santiago Bueno,8.1
2026-02-18,Wolverhampton vs Arsenal,Ladislav Krejčí,8.1
2026-02-18,Wolverhampton vs Arsenal,Rodrigo Gomes,8.1
2026-02-22,Tottenham Hotspur vs Arsenal,Joao Palhinha,6.4
2026-02-22,Tottenham Hotspur vs Arsenal,Radu Drăguşin,6.4
2026-02-22,Tottenham Hotspur vs Arsenal,Micky van de Ven,6.4
2026-03-01,Arsenal vs Chelsea,Reece James,7.0
2026-03-01,Arsenal vs Chelsea,Trevoh Chalobah,7.0
2026-03-01,Arsenal vs Chelsea,Mamadou Sarr,7.0
2026-03-01,Arsenal vs Chelsea,Jorrel Hato,7.0
2026-03-01,Arsenal vs Chelsea,Malo Gusto,7.0
2026-03-04,Brighton & Hove Albion vs Arsenal,Mats Wieffer,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Jan Paul van Hecke,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Olivier Boscagli,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Ferdi Kadıoğlu,7.1
2026-03-04,Brighton & Hove Albion vs Arsenal,Joel Veltman,7.1
2026-03-07,Mansfield Town vs Arsenal,Kyle Knoyle,6.8
2026-03-07,Mansfield Town vs Arsenal,Adedeji Oshilaja,6.8
2026-03-07,Mansfield Town vs Arsenal,Frazer Blake-Tracy,6.8
2026-03-07,Mansfield Town vs Arsenal,Aaron Lewis,6.8
2026-03-07,Mansfield Town vs Arsenal,Elliott Hewitt,6.8
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Jarell Quansah,6.3
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Robert Andrich,6.3
2026-03-11,Bayer 04 Leverkusen vs Arsenal,Edmond Tapsoba,6.3
2026-03-14,Arsenal vs Everton,James Garner,6.8
2026-03-14,Arsenal vs Everton,Jake O'Brien,6.8
2026-03-14,Arsenal vs Everton,Michael Keane,6.8
2026-03-14,Arsenal vs Everton,Vitaliy Mykolenko,6.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Jarell Quansah,8.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Robert Andrich,8.8
2026-03-17,Arsenal vs Bayer 04 Leverkusen,Edmond Tapsoba,8.8
2026-03-22,Arsenal vs Manchester City,Matheus Nunes,6.4
2026-03-22,Arsenal vs Manchester City,Abdukodir Khusanov,6.4
2026-03-22,Arsenal vs Manchester City,Nathan Ake,6.4
2026-03-22,Arsenal vs Manchester City,Nico O'Reilly,6.4
